sdp_objval,sdp_solvetime,num_cones,problem_dim,x_dim,num_Aeq,num_Au,num_Al,sdp_canontime,orig_m,orig_n,b_r,K,t,alg
3.613926349803072,6.610303138033487,8,96,4656,2176,2,9180,9.895564794540405,20,15,0.5,1,0.01,ista
3.745393642912342,16.150738270021975,14,126,8001,3211,3,15810,16.86405897140503,20,15,0.5,1,0.01,fista
1.4094827670379353,33.71936321503017,23,156,12246,5251,2,24300,27.82457160949707,20,15,0.5,2,0.01,ista
1.4587294273016944,79.83896205795463,41,201,20301,7771,3,40320,51.479257345199585,20,15,0.5,2,0.01,fista
0.7014811857535721,88.92234380997252,46,216,23436,9226,2,46620,59.91187334060669,20,15,0.5,3,0.01,ista
0.10665465534800167,236.15635557100177,83,276,38226,13681,3,76080,102.6148612499237,20,15,0.5,3,0.01,fista
0.43367422101181385,161.9995127050206,77,276,38226,14101,2,76140,103.15096712112427,20,15,0.5,4,0.01,ista
0.09539704273936733,491.59575573995244,140,351,61776,20941,3,123090,176.6366355419159,20,15,0.5,4,0.01,fista
0.30488121897633236,302.7194390640361,116,336,56616,19876,2,112860,160.86507606506348,20,15,0.5,5,0.01,ista
0.05122414790840857,1203.5500726499595,212,426,90951,29551,3,181350,295.27603936195374,20,15,0.5,5,0.01,fista
