t,K,SDP obj.,Sample obj.,PEP obj.,SDP solvetime(s),SDP improv.,Samp improv.
0.01,1,$6.59 \times 10^{1}$,$6.55 \times 10^{1}$,$1.88 \times 10^{2}$,$6.68 \times 10^{1}$,2.86,2.88
,2,$1.01 \times 10^{1}$,$1.00 \times 10^{1}$,$3.72 \times 10^{1}$,$1.49 \times 10^{2}$,3.68,3.71
,3,2.14,2.13,$1.30 \times 10^{1}$,$2.51 \times 10^{2}$,6.05,6.09
,4,$5.30 \times 10^{-1}$,$5.25 \times 10^{-1}$,5.67,$4.05 \times 10^{2}$,$1.07 \times 10^{1}$,$1.08 \times 10^{1}$
,5,$1.44 \times 10^{-1}$,$1.39 \times 10^{-1}$,2.80,$5.63 \times 10^{2}$,$1.94 \times 10^{1}$,$2.01 \times 10^{1}$
,6,$5.35 \times 10^{-2}$,$3.84 \times 10^{-2}$,1.49,$7.06 \times 10^{2}$,$2.78 \times 10^{1}$,$3.87 \times 10^{1}$
,7,$1.67 \times 10^{-2}$,$1.09 \times 10^{-2}$,$8.29 \times 10^{-1}$,$5.10 \times 10^{2}$,$4.96 \times 10^{1}$,$7.63 \times 10^{1}$
,8,$9.88 \times 10^{-3}$,$3.15 \times 10^{-3}$,$4.79 \times 10^{-1}$,$5.28 \times 10^{2}$,$4.84 \times 10^{1}$,$1.52 \times 10^{2}$
,9,$7.52 \times 10^{-3}$,$9.27 \times 10^{-4}$,$2.83 \times 10^{-1}$,$8.56 \times 10^{2}$,$3.76 \times 10^{1}$,$3.05 \times 10^{2}$
,10,$5.45 \times 10^{-2}$,$2.78 \times 10^{-4}$,$1.70 \times 10^{-1}$,$9.80 \times 10^{2}$,3.12,$6.13 \times 10^{2}$
0.0125,1,$1.03 \times 10^{2}$,$1.02 \times 10^{2}$,$2.94 \times 10^{2}$,$7.17 \times 10^{1}$,2.86,2.88
,2,7.19,7.14,$4.14 \times 10^{1}$,$1.60 \times 10^{2}$,5.75,5.80
,3,1.02,1.01,$1.23 \times 10^{1}$,$2.74 \times 10^{2}$,$1.21 \times 10^{1}$,$1.22 \times 10^{1}$
,4,$1.67 \times 10^{-1}$,$1.63 \times 10^{-1}$,4.77,$3.82 \times 10^{2}$,$2.85 \times 10^{1}$,$2.92 \times 10^{1}$
,5,$3.57 \times 10^{-2}$,$2.83 \times 10^{-2}$,2.11,$5.64 \times 10^{2}$,$5.93 \times 10^{1}$,$7.46 \times 10^{1}$
,6,$1.42 \times 10^{-2}$,$5.14 \times 10^{-3}$,1.01,$7.16 \times 10^{2}$,$7.13 \times 10^{1}$,$1.97 \times 10^{2}$
,7,$1.30 \times 10^{-2}$,$9.71 \times 10^{-4}$,$5.07 \times 10^{-1}$,$5.73 \times 10^{2}$,$3.90 \times 10^{1}$,$5.22 \times 10^{2}$
,8,$2.17 \times 10^{-2}$,$1.90 \times 10^{-4}$,$2.63 \times 10^{-1}$,$5.11 \times 10^{2}$,$1.21 \times 10^{1}$,$1.38 \times 10^{3}$
,9,$2.41 \times 10^{-2}$,$3.87 \times 10^{-5}$,$1.39 \times 10^{-1}$,$8.33 \times 10^{2}$,5.79,$3.60 \times 10^{3}$
,10,$7.59 \times 10^{-3}$,$8.17 \times 10^{-6}$,$7.51 \times 10^{-2}$,$1.01 \times 10^{3}$,9.90,$9.19 \times 10^{3}$
0.015,1,$1.48 \times 10^{2}$,$1.47 \times 10^{2}$,$4.24 \times 10^{2}$,$6.80 \times 10^{1}$,2.86,2.88
,2,5.56,5.50,$1.06 \times 10^{2}$,$1.60 \times 10^{2}$,$1.91 \times 10^{1}$,$1.93 \times 10^{1}$
,3,$3.93 \times 10^{-1}$,$3.87 \times 10^{-1}$,$2.65 \times 10^{1}$,$2.61 \times 10^{2}$,$6.74 \times 10^{1}$,$6.85 \times 10^{1}$
,4,$4.00 \times 10^{-2}$,$3.38 \times 10^{-2}$,6.62,$3.99 \times 10^{2}$,$1.66 \times 10^{2}$,$1.96 \times 10^{2}$
,5,$1.78 \times 10^{-2}$,$3.42 \times 10^{-3}$,1.66,$5.89 \times 10^{2}$,$9.32 \times 10^{1}$,$4.85 \times 10^{2}$
,6,$7.34 \times 10^{-3}$,$3.85 \times 10^{-4}$,$6.39 \times 10^{-1}$,$6.81 \times 10^{2}$,$8.71 \times 10^{1}$,$1.66 \times 10^{3}$
,7,$7.22 \times 10^{-3}$,$4.79 \times 10^{-5}$,$2.86 \times 10^{-1}$,$5.80 \times 10^{2}$,$3.96 \times 10^{1}$,$5.98 \times 10^{3}$
,8,$3.72 \times 10^{-2}$,$6.49 \times 10^{-6}$,$1.32 \times 10^{-1}$,$4.92 \times 10^{2}$,3.54,$2.03 \times 10^{4}$
,9,$2.11 \times 10^{-2}$,$9.56 \times 10^{-7}$,$6.19 \times 10^{-2}$,$8.96 \times 10^{2}$,2.93,$6.48 \times 10^{4}$
,10,$1.59 \times 10^{-2}$,$1.52 \times 10^{-7}$,$2.95 \times 10^{-2}$,$8.94 \times 10^{2}$,1.85,$1.94 \times 10^{5}$
0.0167,1,$1.83 \times 10^{2}$,$1.82 \times 10^{2}$,$5.23 \times 10^{2}$,$7.51 \times 10^{1}$,2.86,2.88
,2,8.14,8.03,$2.33 \times 10^{2}$,$1.61 \times 10^{2}$,$2.86 \times 10^{1}$,$2.90 \times 10^{1}$
,3,$6.32 \times 10^{-1}$,$6.19 \times 10^{-1}$,$1.03 \times 10^{2}$,$2.72 \times 10^{2}$,$1.64 \times 10^{2}$,$1.67 \times 10^{2}$
,4,$6.29 \times 10^{-2}$,$5.17 \times 10^{-2}$,$4.59 \times 10^{1}$,$4.03 \times 10^{2}$,$7.30 \times 10^{2}$,$8.89 \times 10^{2}$
,5,$1.27 \times 10^{-2}$,$4.70 \times 10^{-3}$,$2.04 \times 10^{1}$,$5.64 \times 10^{2}$,$1.61 \times 10^{3}$,$4.34 \times 10^{3}$
,6,$8.67 \times 10^{-3}$,$4.58 \times 10^{-4}$,9.08,$7.09 \times 10^{2}$,$1.05 \times 10^{3}$,$1.98 \times 10^{4}$
,7,$3.06 \times 10^{-2}$,$4.77 \times 10^{-5}$,4.03,$5.34 \times 10^{2}$,$1.32 \times 10^{2}$,$8.46 \times 10^{4}$
,8,$8.38 \times 10^{-3}$,$5.38 \times 10^{-6}$,1.79,$5.26 \times 10^{2}$,$2.14 \times 10^{2}$,$3.33 \times 10^{5}$
,9,$1.05 \times 10^{-2}$,$6.71 \times 10^{-7}$,$7.97 \times 10^{-1}$,$9.83 \times 10^{2}$,$7.57 \times 10^{1}$,$1.19 \times 10^{6}$
,10,$1.15 \times 10^{-2}$,$9.31 \times 10^{-8}$,$3.54 \times 10^{-1}$,$9.74 \times 10^{2}$,$3.09 \times 10^{1}$,$3.80 \times 10^{6}$
0.0175,1,$2.02 \times 10^{2}$,$2.01 \times 10^{2}$,$5.77 \times 10^{2}$,$7.33 \times 10^{1}$,2.86,2.88
,2,$1.14 \times 10^{1}$,$1.13 \times 10^{1}$,$3.25 \times 10^{2}$,$1.53 \times 10^{2}$,$2.85 \times 10^{1}$,$2.88 \times 10^{1}$
,3,1.30,1.27,$1.83 \times 10^{2}$,$2.58 \times 10^{2}$,$1.41 \times 10^{2}$,$1.43 \times 10^{2}$
,4,$1.69 \times 10^{-1}$,$1.61 \times 10^{-1}$,$4.59 \times 10^{1}$,$4.30 \times 10^{2}$,$2.72 \times 10^{2}$,$2.86 \times 10^{2}$
,5,$3.08 \times 10^{-2}$,$2.17 \times 10^{-2}$,$5.78 \times 10^{1}$,$5.88 \times 10^{2}$,$1.88 \times 10^{3}$,$2.67 \times 10^{3}$
,6,$1.55 \times 10^{-2}$,$3.04 \times 10^{-3}$,$3.25 \times 10^{1}$,$1.13 \times 10^{3}$,$2.09 \times 10^{3}$,$1.07 \times 10^{4}$
,7,$1.00 \times 10^{-2}$,$4.47 \times 10^{-4}$,$1.83 \times 10^{1}$,$5.32 \times 10^{2}$,$1.82 \times 10^{3}$,$4.09 \times 10^{4}$
,8,$9.63 \times 10^{-3}$,$6.87 \times 10^{-5}$,$1.03 \times 10^{1}$,$5.23 \times 10^{2}$,$1.07 \times 10^{3}$,$1.50 \times 10^{5}$
,9,$3.35 \times 10^{-2}$,$1.13 \times 10^{-5}$,5.78,$9.84 \times 10^{2}$,$1.72 \times 10^{2}$,$5.10 \times 10^{5}$
