t,K,SDP obj.,Sample obj.,PEP obj.,SDP solvetime(s),SDP improv.,Samp improv.
0.01,1,$6.59 \times 10^{1}$,$6.55 \times 10^{1}$,$1.88 \times 10^{2}$,$6.68 \times 10^{1}$,65.03,65.24
,2,$1.01 \times 10^{1}$,$1.00 \times 10^{1}$,$3.72 \times 10^{1}$,$1.49 \times 10^{2}$,72.84,73.01
,3,2.14,2.13,$1.30 \times 10^{1}$,$2.51 \times 10^{2}$,83.46,83.59
,4,$5.30 \times 10^{-1}$,$5.25 \times 10^{-1}$,5.67,$4.05 \times 10^{2}$,90.66,90.74
,5,$1.44 \times 10^{-1}$,$1.39 \times 10^{-1}$,2.80,$5.63 \times 10^{2}$,94.85,95.03
,6,$5.35 \times 10^{-2}$,$3.84 \times 10^{-2}$,1.49,$7.06 \times 10^{2}$,96.40,97.42
,7,$1.67 \times 10^{-2}$,$1.09 \times 10^{-2}$,$8.29 \times 10^{-1}$,$5.10 \times 10^{2}$,97.99,98.69
,8,$9.88 \times 10^{-3}$,$3.15 \times 10^{-3}$,$4.79 \times 10^{-1}$,$5.28 \times 10^{2}$,97.94,99.34
,9,$7.52 \times 10^{-3}$,$9.27 \times 10^{-4}$,$2.83 \times 10^{-1}$,$8.56 \times 10^{2}$,97.34,99.67
,10,$5.45 \times 10^{-2}$,$2.78 \times 10^{-4}$,$1.70 \times 10^{-1}$,$9.80 \times 10^{2}$,68.00,99.84
0.0125,1,$1.03 \times 10^{2}$,$1.02 \times 10^{2}$,$2.94 \times 10^{2}$,$7.17 \times 10^{1}$,65.03,65.24
,2,7.19,7.14,$4.14 \times 10^{1}$,$1.60 \times 10^{2}$,82.62,82.76
,3,1.02,1.01,$1.23 \times 10^{1}$,$2.74 \times 10^{2}$,91.71,91.79
,4,$1.67 \times 10^{-1}$,$1.63 \times 10^{-1}$,4.77,$3.82 \times 10^{2}$,96.49,96.58
,5,$3.57 \times 10^{-2}$,$2.83 \times 10^{-2}$,2.11,$5.64 \times 10^{2}$,98.31,98.66
,6,$1.42 \times 10^{-2}$,$5.14 \times 10^{-3}$,1.01,$7.16 \times 10^{2}$,98.60,99.49
,7,$1.30 \times 10^{-2}$,$9.71 \times 10^{-4}$,$5.07 \times 10^{-1}$,$5.73 \times 10^{2}$,97.43,99.81
,8,$2.17 \times 10^{-2}$,$1.90 \times 10^{-4}$,$2.63 \times 10^{-1}$,$5.11 \times 10^{2}$,91.74,99.93
,9,$2.41 \times 10^{-2}$,$3.87 \times 10^{-5}$,$1.39 \times 10^{-1}$,$8.33 \times 10^{2}$,82.73,99.97
,10,$7.59 \times 10^{-3}$,$8.17 \times 10^{-6}$,$7.51 \times 10^{-2}$,$1.01 \times 10^{3}$,89.90,99.99
0.015,1,$1.48 \times 10^{2}$,$1.47 \times 10^{2}$,$4.24 \times 10^{2}$,$6.80 \times 10^{1}$,65.02,65.24
,2,5.56,5.50,$1.06 \times 10^{2}$,$1.60 \times 10^{2}$,94.75,94.81
,3,$3.93 \times 10^{-1}$,$3.87 \times 10^{-1}$,$2.65 \times 10^{1}$,$2.61 \times 10^{2}$,98.52,98.54
,4,$4.00 \times 10^{-2}$,$3.38 \times 10^{-2}$,6.62,$3.99 \times 10^{2}$,99.40,99.49
,5,$1.78 \times 10^{-2}$,$3.42 \times 10^{-3}$,1.66,$5.89 \times 10^{2}$,98.93,99.79
,6,$7.34 \times 10^{-3}$,$3.85 \times 10^{-4}$,$6.39 \times 10^{-1}$,$6.81 \times 10^{2}$,98.85,99.94
,7,$7.22 \times 10^{-3}$,$4.79 \times 10^{-5}$,$2.86 \times 10^{-1}$,$5.80 \times 10^{2}$,97.48,99.98
,8,$3.72 \times 10^{-2}$,$6.49 \times 10^{-6}$,$1.32 \times 10^{-1}$,$4.92 \times 10^{2}$,71.77,$99.99^{(\star)}$
,9,$2.11 \times 10^{-2}$,$9.56 \times 10^{-7}$,$6.19 \times 10^{-2}$,$8.96 \times 10^{2}$,65.89,$99.99^{(\star)}$
,10,$1.59 \times 10^{-2}$,$1.52 \times 10^{-7}$,$2.95 \times 10^{-2}$,$8.94 \times 10^{2}$,45.95,$99.99^{(\star)}$
